 type,census_tract,time_period,avg_income,med_value,public_assistance,no_public_assistance,housing_over_30,under_65,white_alone,bachelor_higher,nonfamily_households,renter_occupied,percent_apartments,moved_post_2000,med_built,gini_index
percent,521.01,2015, , ,0.014372405,0.985627595,0.431810923,0.875541126,0.231277056,0.255743544,0.30820824,0.418077292,0.13382306,0.334397956, , 
count,521.02,2010,17261.92506,155875,56,1951,1084,6018,1190,977,619,896,506,1665,1999,0.4351
percent,521.02,2010, , ,0.027902342,0.972097658,0.540109616,0.931723177,0.184239046,0.262141132,0.308420528,0.446437469,0.252117588,0.829596413, , 
count,521.02,2011,18370.69647,156255,48,1945,1009,5631,962,1016,692,883,481,776,1997,0.426
percent,521.02,2011, , ,0.024084295,0.975915705,0.506271952,0.929975227,0.158876961,0.29254247,0.347215253,0.443050677,0.241344706,0.38936277, , 
count,521.02,2012,18030.23769,152986,81,1941,973,5914,885,995,625,1034,553,905,1997,0.4185
percent,521.02,2012, , ,0.040059347,0.959940653,0.481206726,0.92972803,0.139129068,0.287738577,0.309099901,0.511374876,0.273491592,0.447576657, , 
count,521.02,2013,17495.25623,148827,80,1988,873,6295,1032,964,664,1015,525,939,1995,0.3465
percent,521.02,2013, , ,0.03868472,0.96131528,0.422147002,0.929288456,0.15234721,0.251237946,0.321083172,0.490812379,0.253868472,0.454061896, , 
count,521.02,2014,17319.20362,148442,59,2065,957,6449,1074,869,544,1115,557,341,1990,0.3286
percent,521.02,2014, , ,0.027777778,0.972222222,0.450564972,0.922339817,0.153604119,0.213303878,0.256120527,0.524952919,0.262241055,0.160546139, , 
count,521.02,2015,18459,154800,72,2066,845,6468,1095,813,563,1073,514,498,1994,0.3529
percent,521.02,2015, , ,0.033676333,0.966323667,0.395229186,0.929310345,0.157327586,0.197665937,0.263330215,0.501870907,0.2404116,0.23292797, , 
count,528.06,2010,22989.95693,161064,22,5021,2088,15394,4414,2896,1045,1052,156,4409,2002,0.3746
percent,528.06,2010, , ,0.004362483,0.995637517,0.414039262,0.940378742,0.269639585,0.286931537,0.207217926,0.208605988,0.030933968,0.874281182, , 
count,528.06,2011,23107.97077,160463,107,5211,2023,15875,4474,3044,1290,1081,206,1310,2002,0.3751
percent,528.06,2011, , ,0.020120346,0.979879654,0.380406168,0.945615916,0.266499881,0.293595679,0.242572396,0.203271907,0.038736367,0.246333208, , 
count,528.06,2012,24436.27759,161829,103,5145,1676,15741,4185,3103,1315,1261,189,1691,2002,0.356
percent,528.06,2012, , ,0.019626524,0.980373476,0.319359756,0.948881789,0.252275604,0.303205003,0.250571646,0.240282012,0.03601372,0.322217988, , 
count,528.06,2013,23921.82964,163220,126,5339,1715,16188,4456,3062,1542,1309,212,2012,2003,0.3441
percent,528.06,2013, , ,0.02305581,0.97694419,0.313815188,0.95335689,0.262426384,0.308918483,0.282159195,0.239524245,0.038792315,0.368161025, , 
count,528.06,2014,23455.40022,159539,213,5416,1813,16415,4539,3071,1551,1372,292,896,2003,0.339
percent,528.06,2014, , ,0.037839758,0.962160242,0.322082075,0.951373595,0.263069433,0.309701493,0.275537396,0.243737786,0.051874223,0.159175697, , 
count,528.06,2015,23108,165600,178,5657,1869,17191,4471,3372,1577,1683,491,1495,2003,0.3508
percent,528.06,2015, , ,0.03050557,0.96949443,0.320308483,0.950566768,0.247221454,0.317245272,0.270265638,0.288431877,0.084147386,0.256212511, , 
count,541.06,2010,26578.75969,181386,31,2747,1297,7437,2483,1538,1003,1086,699,2199,1999,0.3916
percent,541.06,2010, , ,0.011159107,0.988840893,0.466882649,0.952362658,0.317966449,0.323789474,0.361051116,0.390928726,0.25161987,0.791576674, , 
count,541.06,2011,24318.72743,177405,39,2768,1165,7723,2459,1441,875,1183,704,858,2000,0.35
percent,541.06,2011, , ,0.013893837,0.986106163,0.415033844,0.944825055,0.300831906,0.2812805,0.311720698,0.421446384,0.250801568,0.30566441, , 
count,541.06,2012,24246.64261,169073,42,2679,1169,7456,2393,1390,909,1270,793,1054,2000,0.3546
percent,541.06,2012, , ,0.015435502,0.984564498,0.429621463,0.940820189,0.301955836,0.27950935,0.334068357,0.466740169,0.291436972,0.387357589, , 
count,541.06,2013,26527.08449,166348,29,2664,1027,7233,2769,1405,880,1048,582,1051,2000,0.3787
percent,541.06,2013, , ,0.010768659,0.989231341,0.381359079,0.927426593,0.355045519,0.286150713,0.326773115,0.389157074,0.216115856,0.390271073, , 
count,541.06,2014,25288.01244,161270,51,2668,1034,7188,2843,1398,1078,1148,523,513,2000,0.3497
percent,541.06,2014, , ,0.018756896,0.981243104,0.38028687,0.910449652,0.36010133,0.265981735,0.39646929,0.422214049,0.192350129,0.188672306, , 
count,541.06,2015,26882,155600,70,2773,887,7293,2523,1701,1031,1365,750,837,2000,0.3457
percent,541.06,2015, , ,0.024621878,0.975378122,0.311994372,0.909691905,0.314706249,0.321915216,0.362645093,0.480126627,0.263805839,0.294407316, , 
